FID,Column,Row,Cell,Easting,Northing,Nat_Area,Purpose,Completed,DATE,ASSESSOR,NW_HERB,NE_HERB,SE_HERB,SW_HERB,HERB_TOTAL,HERB_POINT,NW_SEEDL,NE_SEEDL,SW_SEEDL,SE_SEEDL,SEEDL_TOTA,SEEDL_POIN,NW_SS_IND,NE_SS_IND,SE_SS_IND,SW_SS_IND,SS_IND_TOT,SS_IND_POI,NW_SS_SPC,NE_SS_SPC,SW_SS_SPC,SE_SS_SPC,SS_SPC_TOT,SS_SPC_POI,NW_M_TREE_,NE_M_TREE_,SW_M_TREE_,SE_M_TREE_,M_TREE_IND,M_TREE_I_1,M_TREE_SPC,M_TREE_S_1,M_TREE_S_2,NW_L_TREE_,NE_L_TREE_,SE_L_TREE_,SW_L_TREE_,L_TREE_IND,L_TREE_I_1,L_TREE_SPC,L_TREE_S_1,L_TREE_S_2,NW_SNAGS,NE_SNAGS,SE_SNAGS,SW_SNAGS,SNAGS_TOTA,SNAGS_POIN,NW_W_DEBRI,NE_W_DEBRI,SE_W_DEBRI,SW_W_DEBRI,W_DEBRIS_T,W_DEBRIS_P,NW_INV_SV,NE_INV_SV,SE_INV_SV,SW_INV_SV,INV_SV_TOT,INV_SV_POI,NW_INV_HER,NE_INV_HER,SE_INV_HER,SW_INV_HER,INV_HERB_T,INV_HERB_P,OBS_INV_PL,H_LIGHT_GA,PIT_MOUND,ABS_HUMAN_,ABS_DEER_B,NW_LEAF_FR,NE_LEAF_FR,C_LEAF_FRG,SW_LEAF_FR,SE_LEAF_FR,LEAF_FRG_T,LEAF_FRG_P,TOTAL,QUALITY_RA,AMBE,BLD,BLD_SEVER,AMBE_ABUN,ASH,EAB,EAB_SEVER,ASH_ABUN,EAHE,HWA,HWA_SEVER,EAHE_ABUN,F_HEALTH,F_AGE,F_CONDITIO,PRE_TREAT,LABEL,MANAG_OBJ,R_PRE_TREA,BOUND_MARK
0,32-E,41-N,32-E41-N,2299358.52,716111.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-06,CK CK SB SB,4,4,4,3,15,0,7,4,5,7,23,1,67,33,39,38,177,1,8,6,7,7,28,1,7,11,7,8,33,1,SYCA SUMA REOA TUPO REMA,5,1,0,0,0,0,0,0, ,0,0,2,2,2,0,6,1,3,1,3,0,7,0,97,43,52,52,244,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,11,Medium,1,1,Low,Low,1,1,Severe,Low,0,0,None,None,7,4,Old and Healthy,"TSI, +Woody Debris",TSI,"-Invasive S/V, +Woody Debris",Control, 
1,33-E,41-N,33-E41-N,2299686.52,716111.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-06,CK CK SB SB,4,5,4,5,18,0,6,4,4,5,19,1,37,39,18,32,126,1,6,6,4,6,22,1,12,4,4,8,28,1,REMA TUPO REOA,3,1,0,0,1,1,2,0,REOA,1,0,0,0,1,0,1,0,1,1,1,0,3,0,0,12,20,10,42,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Low,Low,0,0,None,None,0,0,None,None,6,3,Young and Healthy,"TSI, +Snags",TSI,"-Invasive S/V, +Snags",Control, 
2,34-E,41-N,34-E41-N,2300014.52,716111.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-07,CK CK SB SB,5,3,4,4,16,0,5,5,4,4,18,1,54,47,38,26,165,1,5,6,4,4,19,1,7,8,5,5,25,1,SUMA REMA BLOA REOA TUPO,5,1,0,0,0,0,0,0, ,0,0,1,1,0,0,2,0,1,4,1,2,8,0,63,33,43,105,244,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Low,Low,0,0,None,None,0,0,None,None,5,3,Young and Unhealthy,"TSI, +Woody Debris",TSI,"-Invasive S/V, +Woody Debris",Improvement Cut w/TSI,
3,35-E,41-N,35-E41-N,2300342.52,716111.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-07,CK CK SB SB,4,4,4,3,15,0,6,5,7,3,21,1,17,11,38,18,84,0,3,3,4,4,14,0,8,3,7,7,25,1,BIHI SASS TUPO REMA SHHI REOA,6,1,0,0,0,0,0,0, ,0,0,0,3,3,0,6,1,4,1,0,0,5,0,59,57,110,39,265,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7,Medium Low,1,1,Moderate,Medium,0,0,None,None,0,0,None,None,3,4,Old and Unhealthy,"TSI, +Snags",TSI,"-Invasive S/V, +Snags",Improvement Cut w/TSI,
4,30-E,42-N,30-E42-N,2298702.52,716439.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-31,CK CK SB SB,6,6,5,4,21,1,5,7,3,3,18,1,63,43,43,86,235,1,5,5,4,4,18,1,5,4,1,0,10,0,WHOA REOA REMA,3,1,0,0,0,0,0,0, ,0,0,2,3,1,3,9,1,2,2,0,0,4,0,172,76,157,81,486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Medium Low,0,0,None,None,1,1,Severe,Low,0,0,None,None,5,2,Young and Unhealthy,Investigate,Investigate,Determine best action,Improvement Cut,
5,31-E,42-N,31-E42-N,2299030.52,716439.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-30,CK CK SB SB,5,6,8,7,26,1,4,6,3,2,15,0,43,47,27,27,144,1,5,4,3,8,20,1,4,4,3,5,16,0,WHOA REOA BASS AMEL SUMA TUPO TUPE REMA BIHI AMBE,10,1,0,0,0,0,0,0, ,0,0,2,2,5,2,11,1,1,0,3,2,6,0,78,7,150,65,300,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,6,3,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,
6,34-E,42-N,34-E42-N,2300014.52,716439.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-07,CK CK SB SB,8,6,6,6,26,1,6,5,5,4,20,1,57,68,46,56,227,1,8,7,5,5,25,1,7,5,6,8,26,1,BASS REMA WHOA REOA SUMA,5,1,0,0,2,1,3,0,REOA,1,0,3,3,0,3,9,1,2,3,2,0,7,0,67,23,5,55,150,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,10,Medium,1,1,Low,Low,1,1,Severe,Low,0,0,None,None,6,4,Old and Healthy,"TSI, +Woody Debris",Structural Improvement,"-Invasive S/V, +Woody Debris",Improvement Cut w/TSI,
7,35-E,42-N,35-E42-N,2300342.52,716439.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-07,CK CK SB SB,4,6,3,6,19,0,6,4,4,2,16,1,56,18,23,13,110,0,4,4,4,4,16,1,7,3,9,8,27,1,SUMA SHHI REOA AMBE BASS,5,1,0,0,1,0,1,0,REOA,1,0,0,1,2,1,4,0,3,2,3,3,11,0,14,37,0,0,51,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,4,1,10,Medium,1,1,Low,High,0,0,None,None,0,0,None,None,7,3,Young and Healthy,"+Snags, +Woody Debris",Structural Improvement,"+Snags, +Woody Debris",Improvement Cut w/TSI,
8,29-E,43-N,29-E43-N,2298374.52,716767.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-23,CK SB AM ALL,3,6,7,6,22,1,5,6,5,5,21,1,15,34,28,34,111,0,3,5,4,3,15,0,10,6,6,6,28,1,WHOA SUMA REOA AMBE TUPO REMA,6,1,0,0,0,0,0,0, ,0,0,1,4,3,5,13,0,2,3,1,1,7,0,0,65,85,75,225,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,7,Medium Low,1,1,Moderate,Low,1,1,Severe,Medium,0,0,None,None,4,3,Young and Unhealthy,"TSI, -Snags, +Woody Debris",TSI,"-Invasive S/V, -Snags, +Woody Debris",Control,
9,30-E,43-N,30-E43-N,2298702.52,716767.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-31,CK CK SB SB,9,6,7,10,32,1,9,6,6,4,25,1,49,63,64,42,218,1,6,8,4,4,22,1,0,3,1,3,7,0,TUPO REOA SUMA,3,1,0,0,0,0,0,0, ,0,0,0,1,3,4,8,1,1,0,4,3,8,0,54,73,60,0,187,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,10,Medium,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,7,3,Young and Healthy,Investigate,Investigate,Determine best action,Improvement Cut,
10,31-E,43-N,31-E43-N,2299030.52,716767.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-30,CK CK SB SB,4,6,3,7,20,1,8,8,7,6,29,1,53,52,21,33,159,1,7,6,2,3,18,1,8,3,5,5,21,0,REOA TUPO BLCH AMBE,4,1,0,0,1,0,1,0,TUPO,1,0,1,1,1,2,5,1,3,1,1,1,6,0,0,25,0,25,50,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,5,1,13,Medium,1,1,Moderate,High,0,0,None,None,0,0,None,None,10,3,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,
11,35-E,43-N,35-E43-N,2300342.52,716767.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-07,CK CK SB SB,6,5,4,4,19,0,6,4,4,5,19,1,35,28,46,16,125,1,6,5,5,3,19,1,7,5,5,5,22,0,BIHI AMBE SHHI REOA TUPO SUMA,6,1,0,0,0,1,1,0,REOA,1,0,2,0,0,2,4,0,2,1,4,2,9,0,15,0,3,0,18,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,3,0,9,Medium Low,1,1,Low,High,1,1,Severe,Low,0,0,None,None,7,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
12,25-E,44-N,25-E44-N,2297062.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-08-09,CK SB CK SB,5,4,2,2,13,0,7,6,8,5,26,1,17,21,32,18,88,0,2,4,3,3,12,0,9,5,2,2,18,0,TUPE BIHI BASS AMBE WHOA TUPO EAHE SUMA REOA,9,1,1,1,0,0,2,0,REOA EAHE,2,1,3,2,1,0,1,1,2,1,0,0,3,0,19,3,43,160,225,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,7,Medium Low,1,1,Moderate,Medium,0,0,None,None,1,0,None,Low,3,4,Old and Unhealthy,"Improvement Cut w/TSI, +Ind Shrubs, +Shrub Sp",Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V, +Ind Shrubs, +Shrub Sp",Improvement Cut,
