Tree,Direction,Species,Cover Class
23,S,Maple Vib,NA
390,N,Maple Vib,NA
390,S,Maple Vib,NA
177,N,Maple Vib,NA
177,S,Maple Vib,NA
344,N,Maple Vib,NA
344,S,Maple Vib,NA
386,N,Maple Vib,NA
386,S,Maple Vib,NA
387,N,Maple Vib,NA
387,S,Maple Vib,NA
182,N,Maple Vib,NA
182,S,Maple Vib,NA
181,N,Maple Vib,NA
181,S,Maple Vib,NA
385,N,Maple Vib,NA
385,S,Maple Vib,NA
180,N,Maple Vib,NA
180,S,Maple Vib,NA
175,N,Maple Vib,NA
175,S,Maple Vib,NA
384,N,Maple Vib,NA
384,S,Maple Vib,NA
940,N,Maple Vib,NA
940,S,Maple Vib,NA
895,N,Lindera,1
58,S,Privet,1
295,S,Rose,6
303,S,Rose,5
105,S,Rose,5
74,S,Rose,5
55,S,Rose,5
165,S,Rose,4
112,N,Rose,4
106,N,Rose,4
106,S,Rose,4
107,N,Rose,4
108,S,Rose,4
303,N,Rose,4
259,N,Rose,4
102,N,Rose,4
105,N,Rose,4
300,S,Rose,4
67,S,Rose,4
900,S,Rose,4
129,S,Rose,4
387,N,Rose,4
116,N,Rose,4
76,S,Rose,4
186,N,Rose,4
149,N,Rose,4
149,S,Rose,4
146,S,Rose,4
53,N,Rose,4
53,S,Rose,4
165,N,Rose,3
103,S,Rose,3
104,S,Rose,3
125,N,Rose,3
112,S,Rose,3
120,S,Rose,3
107,S,Rose,3
108,N,Rose,3
931,N,Rose,3
178,N,Rose,3
178,S,Rose,3
178,S,Lonicera,3
377,S,Rose,3
302,S,Rose,3
379,S,Rose,3
392,N,Rose,3
259,N,Lonicera,3
376,S,Rose,3
308,N,Rose,3
143,S,Rose,3
102,S,Rose,3
372,S,Buckthorn,3
894,S,Buckthorn,3
371,N,Buckthorn,3
299,N,Rose,3
299,N,Privet,3
30,S,Rose,3
42,N,Rose,3
92,N,Rose,3
900,N,Rose,3
88,N,Rose,3
88,S,Rose,3
384,N,Rose,3
45,N,Rose,3
45,S,Buckthorn,3
58,N,Buckthorn,3
57,S,Rose,3
62,S,Rose,3
880,N,Buckthorn,3
880,N,Rose,3
85,S,Rose,3
133,N,Rose,3
86,S,Rose,3
110,N,Buckthorn,3
109,S,Rose,3
95,S,Rose,3
295,N,Rose,3
881,N,Rose,3
884,N,Rose,3
94,N,Rose,3
94,S,Rose,3
888,N,Rose,3
76,N,Rose,3
186,S,Rose,3
50,S,Rose,3
35,S,Rose,3
172,N,Maple Vib,3
391,N,Buckthorn,3
146,N,Rose,3
153,N,Rose,3
148,N,Rose,3
52,S,Rose,3
103,N,Rose,2
104,N,Rose,2
125,S,Rose,2
120,N,Rose,2
114,S,Rose,2
118,N,Rose,2
931,N,Lonicera,2
931,S,Lonicera,2
377,N,Rose,2
381,N,Rose,2
378,N,Lonicera,2
378,S,Rose,2
961,N,Rose,2
302,N,Buckthorn,2
302,N,Rose,2
302,S,Buckthorn,2
301,N,Buckthorn,2
301,N,Rose,2
301,S,Buckthorn,2
301,S,Rose,2
379,N,Lonicera,2
255,N,Buckthorn,2
255,S,Buckthorn,2
254,S,Buckthorn,2
259,S,Rose,2
259,S,Lonicera,2
373,N,Buckthorn,2
373,S,Buckthorn,2
376,N,Rose,2
395,N,Rose,2
102,S,Lonicera,2
399,N,Buckthorn,2
399,S,Buckthorn,2
372,N,Buckthorn,2
894,N,Buckthorn,2
371,S,Buckthorn,2
253,N,Rose,2
253,N,Privet,2
272,S,Buckthorn,2
299,N,Buckthorn,2
300,N,Rubus,2
297,N,Buckthorn,2
74,N,Rose,2
252,N,Buckthorn,2
893,S,Rose,2
892,N,Rose,2
892,S,Buckthorn,2
892,S,Rose,2
66,N,Buckthorn,2
66,S,Buckthorn,2
66,S,Lindera,2
75,N,Buckthorn,2
75,N,Rose,2
72,S,Rose,2
72,S,Lindera,2
68,S,Lindera,2
31,N,Rose,2
42,S,Rose,2
41,N,Rose,2
41,N,Lonicera,2
41,S,Rose,2
93,S,Rose,2
99,S,Rose,2
97,S,Rose,2
127,S,Rose,2
130,N,Rose,2
130,S,Rose,2
131,S,Rose,2
131,S,Lonicera,2
12,N,Lindera,2
390,N,Buckthorn,2
390,N,Rose,2
390,S,Buckthorn,2
387,S,Buckthorn,2
387,S,Rose,2
182,N,Rose,2
181,N,Rose,2
181,S,Rose,2
175,N,Rose,2
384,S,Buckthorn,2
940,S,Rose,2
32,N,Rose,2
34,S,Rose,2
47,S,Rose,2
61,S,Rose,2
58,S,Buckthorn,2
62,N,Buckthorn,2
70,N,Rose,2
64,N,Rose,2
85,S,Buckthorn,2
87,N,Maple Vib,2
89,N,Buckthorn,2
84,N,Rose,2
117,N,Rose,2
117,S,Rose,2
133,S,Rose,2
86,N,Rose,2
110,S,Rose,2
109,N,Rose,2
109,N,Privet,2
95,N,Rose,2
881,S,Rose,2
884,S,Rose,2
73,N,Rose,2
79,N,Buckthorn,2
79,N,Rose,2
79,S,Rose,2
113,N,Rose,2
113,S,Buckthorn,2
113,S,Rose,2
116,S,Rose,2
184,S,Buckthorn,2
183,N,Buckthorn,2
388,N,Buckthorn,2
98,N,Buckthorn,2
39,N,Rose,2
50,N,Rose,2
71,N,Buckthorn,2
71,S,Rose,2
22,N,Rose,2
35,N,Rose,2
25,N,Buckthorn,2
25,N,Privet,2
59,N,Rubus,2
59,S,Buckthorn,2
193,N,Buckthorn,2
172,N,Buckthorn,2
391,S,Buckthorn,2
150,N,Lindera,2
146,N,Lonicera,2
153,N,Buckthorn,2
153,S,Rose,2
147,N,Lindera,2
148,N,Lindera,2
930,N,Rose,2
930,S,Privet,2
55,N,Rose,2
52,N,Rose,2
65,S,Buckthorn,2
56,N,Buckthorn,2
56,N,Rose,2
56,S,Buckthorn,2
56,S,Rose,2
165,N,Buckthorn,1
165,N,Rubus,1
165,S,Buckthorn,1
165,S,Lonicera,1
165,S,Rubus,1
103,N,Buckthorn,1
103,N,Rubus,1
103,S,Buckthorn,1
103,S,Rubus,1
104,N,Buckthorn,1
104,N,Lonicera,1
104,N,Rubus,1
104,S,Buckthorn,1
104,S,Privet,1
104,S,Lonicera,1
104,S,Rubus,1
125,N,Buckthorn,1
125,N,Lonicera,1
125,N,Rubus,1
125,S,Buckthorn,1
125,S,Rubus,1
112,N,Buckthorn,1
112,N,Rubus,1
112,S,Buckthorn,1
112,S,Lonicera,1
112,S,Rubus,1
120,N,Buckthorn,1
120,S,Lonicera,1
120,S,Rubus,1
114,N,Buckthorn,1
114,N,Rose,1
114,S,Buckthorn,1
115,N,Buckthorn,1
115,N,Maple Vib,1
115,S,Buckthorn,1
115,S,Maple Vib,1
119,N,Buckthorn,1
119,N,Rose,1
119,N,Lonicera,1
119,N,Rubus,1
119,S,Buckthorn,1
119,S,Rose,1
119,S,Lonicera,1
119,S,Rubus,1
106,N,Buckthorn,1
106,N,Lonicera,1
106,N,Rubus,1
106,S,Buckthorn,1
106,S,Privet,1
106,S,Lonicera,1
106,S,Rubus,1
107,N,Buckthorn,1
107,N,Privet,1
107,N,Lonicera,1
107,S,Buckthorn,1
108,N,Buckthorn,1
108,N,Lonicera,1
108,N,Rubus,1
108,S,Buckthorn,1
108,S,Lonicera,1
108,S,Rubus,1
118,N,Buckthorn,1
118,N,Rubus,1
118,S,Rose,1
931,N,Buckthorn,1
931,S,Buckthorn,1
931,S,Rose,1
178,N,Buckthorn,1
178,N,Lonicera,1
178,N,Maple Vib,1
178,S,Buckthorn,1
178,S,Maple Vib,1
936,N,Buckthorn,1
936,N,Privet,1
936,N,Lonicera,1
936,S,Buckthorn,1
936,S,Rose,1
936,S,Privet,1
377,N,Buckthorn,1
377,N,Lonicera,1
377,N,Maple Vib,1
377,S,Buckthorn,1
377,S,Privet,1
377,S,Maple Vib,1
981,N,Buckthorn,1
981,N,Rubus,1
981,S,Buckthorn,1
981,S,Rose,1
981,S,Lonicera,1
981,S,Maple Vib,1
195,N,Buckthorn,1
195,N,Rose,1
195,N,Lonicera,1
195,N,Rubus,1
195,S,Buckthorn,1
195,S,Rose,1
195,S,Lonicera,1
195,S,Rubus,1
192,N,Buckthorn,1
192,N,Lonicera,1
192,S,Buckthorn,1
192,S,Rose,1
192,S,Privet,1
192,S,Lonicera,1
291,N,Buckthorn,1
291,S,Buckthorn,1
291,S,Rose,1
185,N,Buckthorn,1
185,S,Buckthorn,1
185,S,Rose,1
345,N,Rose,1
289,N,Buckthorn,1
289,N,Rose,1
289,N,Lonicera,1
289,S,Rose,1
289,S,Lonicera,1
996,N,Buckthorn,1
996,S,Buckthorn,1
897,N,Buckthorn,1
897,N,Privet,1
897,S,Buckthorn,1
897,S,Rose,1
381,N,Buckthorn,1
381,N,Lonicera,1
381,N,Rubus,1
381,S,Buckthorn,1
381,S,Rose,1
381,S,Lonicera,1
380,N,Buckthorn,1
380,N,Rose,1
380,N,Lonicera,1
380,S,Buckthorn,1
380,S,Rose,1
378,N,Rose,1
378,N,Rubus,1
378,S,Rubus,1
961,N,Buckthorn,1
961,N,Rubus,1
961,S,Buckthorn,1
961,S,Rose,1
961,S,Lonicera,1
961,S,Rubus,1
