Tree,Species,Plot_ID,Valid,VisualCover2020
251,red maple,C-18-M,Yes,Yes
273,sugar maple,C-18-M,Yes,Yes
274,sugar maple,C-18-M,Yes,Yes
277,elm,C-18-M,Yes,Yes
279,sugar maple,C-18-M,Yes,Yes
280,red maple,C-18-M,Yes,Yes
282,sugar maple,C-18-M,Yes,Yes
283,red maple,C-18-M,Yes,Yes
287,sugar maple,C-18-M,Yes,Yes
307,sugar maple,C-18-M,Yes,Yes
308,red maple,C-18-M,Yes,Yes
309,red maple,C-18-M,Yes,Yes
310,sugar maple,C-18-M,Yes,Yes
394,tulip poplar,C-18-M,Yes,Yes
395,sugar maple,C-18-M,Yes,Yes
969,tulip poplar,C-18-M,Yes,Yes
999,tulip poplar,C-18-M,Yes,Yes
262,tulip poplar,C-18-N,Yes,Yes
263,red maple,C-18-N,Yes,Yes
264,tulip poplar,C-18-N,Yes,Yes
265,sugar maple,C-18-N,Yes,Yes
266,red maple,C-18-N,Yes,Yes
401,sugar maple,C-18-N,Yes,Yes
404,sugar maple,C-18-N,Yes,Yes
412,red maple,C-18-N,Yes,Yes
172,red maple,C-18-S,Yes,Yes
177,sugar maple,C-18-S,Yes,Yes
181,red maple,C-18-S,Yes,Yes
182,tulip poplar,C-18-S,Yes,Yes
186,tulip poplar,C-18-S,Yes,Yes
193,sugar maple,C-18-S,Yes,Yes
194,sugar maple,C-18-S,Yes,Yes
311,red maple,C-18-S,Yes,Yes
313,sugar maple,C-18-S,Yes,Yes
314,red maple,C-18-S,Yes,Yes
315,red maple,C-18-S,Yes,Yes
316,sugar maple,C-18-S,Yes,Yes
317,elm,C-18-S,Yes,Yes
319,elm,C-18-S,Yes,Yes
320,elm,C-18-S,Yes,Yes
344,tulip poplar,C-18-S,Yes,Yes
386,red maple,C-18-S,Yes,Yes
387,sugar maple,C-18-S,Yes,Yes
388,red maple,C-18-S,Yes,Yes
389,sugar maple,C-18-S,Yes,Yes
275,red maple,C-19-M,Yes,Yes
276,red maple,C-19-M,Yes,Yes
281,sugar maple,C-19-M,Yes,Yes
285,red maple,C-19-M,Yes,Yes
286,sugar maple,C-19-M,Yes,Yes
304,tulip poplar,C-19-M,Yes,Yes
305,sugar maple,C-19-M,Yes,Yes
306,sugar maple,C-19-M,Yes,Yes
392,red maple,C-19-M,Yes,Yes
393,tulip poplar,C-19-M,Yes,Yes
929,red maple,C-19-M,Yes,Yes
961,sugar maple,C-19-M,Yes,Yes
978,sugar maple,C-19-M,Yes,Yes
187,tulip poplar,C-19-N,Yes,Yes
200,sugar maple,C-19-N,Yes,Yes
260,red maple,C-19-N,Yes,Yes
269,tulip poplar,C-19-N,Yes,Yes
270,sugar maple,C-19-N,Yes,Yes
405,sugar maple,C-19-N,Yes,Yes
406,Red Maple,C-19-N,Yes,Yes
408,Red Maple,C-19-N,Yes,Yes
409,sugar maple,C-19-N,Yes,Yes
410,sugar maple,C-19-N,Yes,Yes
411,sugar maple,C-19-N,Yes,Yes
175,red maple,C-19-S,Yes,Yes
179,red maple,C-19-S,Yes,Yes
180,sugar maple,C-19-S,Yes,Yes
183,sugar maple,C-19-S,Yes,Yes
184,tulip poplar,C-19-S,Yes,Yes
312,red maple,C-19-S,Yes,Yes
321,elm,C-19-S,Yes,Yes
322,sugar maple,C-19-S,Yes,Yes
323,sugar maple,C-19-S,Yes,Yes
324,sugar maple,C-19-S,Yes,Yes
327,sugar maple,C-19-S,Yes,Yes
328,elm,C-19-S,Yes,Yes
329,sugar maple,C-19-S,Yes,Yes
384,red maple,C-19-S,Yes,Yes
385,sugar maple,C-19-S,Yes,Yes
390,red maple,C-19-S,Yes,Yes
391,red maple,C-19-S,Yes,Yes
940,tulip poplar,C-19-S,Yes,Yes
185,sugar maple,IC+TSI-18-M,Yes,Yes
192,red maple,IC+TSI-18-M,Yes,Yes
195,tulip poplar,IC+TSI-18-M,Yes,Yes
289,tulip poplar,IC+TSI-18-M,Yes,Yes
291,red oak,IC+TSI-18-M,Yes,Yes
325,sugar maple,IC+TSI-18-M,Yes,Yes
326,sugar maple,IC+TSI-18-M,Yes,Yes
331,red maple,IC+TSI-18-M,Yes,Yes
333,sugar maple,IC+TSI-18-M,Yes,Yes
335,sugar maple,IC+TSI-18-M,Yes,Yes
337,sugar maple,IC+TSI-18-M,Yes,Yes
338,elm,IC+TSI-18-M,Yes,Yes
340,red maple,IC+TSI-18-M,Yes,Yes
343,red maple,IC+TSI-18-M,Yes,Yes
345,sugar maple,IC+TSI-18-M,Yes,Yes
378,red maple,IC+TSI-18-M,Yes,Yes
380,sugar maple,IC+TSI-18-M,Yes,Yes
381,red maple,IC+TSI-18-M,Yes,Yes
897,red maple,IC+TSI-18-M,Yes,Yes
996,tulip poplar,IC+TSI-18-M,Yes,Yes
188,red maple,IC+TSI-18-N,Yes,Yes
190,red maple,IC+TSI-18-N,Yes,Yes
191,tulip poplar,IC+TSI-18-N,Yes,Yes
196,sugar maple,IC+TSI-18-N,Yes,Yes
256,sugar maple,IC+TSI-18-N,Yes,Yes
284,sugar maple,IC+TSI-18-N,Yes,Yes
296,red oak,IC+TSI-18-N,Yes,Yes
349,red maple,IC+TSI-18-N,Yes,No
364,sugar maple,IC+TSI-18-N,Yes,Yes
365,red maple,IC+TSI-18-N,Yes,Yes
366,sugar maple,IC+TSI-18-N,Yes,Yes
367,red maple,IC+TSI-18-N,Yes,Yes
368,sugar maple,IC+TSI-18-N,Yes,Yes
369,sugar maple,IC+TSI-18-N,Yes,Yes
396,tulip poplar,IC+TSI-18-N,Yes,Yes
397,red maple,IC+TSI-18-N,Yes,Yes
882,red oak,IC+TSI-18-N,Yes,Yes
886,red oak,IC+TSI-18-N,Yes,Yes
889,red oak,IC+TSI-18-N,Yes,Yes
890,tulip poplar,IC+TSI-18-N,Yes,Yes
891,tulip poplar,IC+TSI-18-N,Yes,Yes
1,red maple,IC+TSI-18-S,Yes,Yes
2,sugar maple,IC+TSI-18-S,Yes,Yes
5,sugar maple,IC+TSI-18-S,Yes,Yes
6,red maple,IC+TSI-18-S,Yes,Yes
7,tulip poplar,IC+TSI-18-S,Yes,Yes
10,sugar maple,IC+TSI-18-S,Yes,Yes
11,red maple,IC+TSI-18-S,Yes,Yes
12,tulip poplar,IC+TSI-18-S,Yes,Yes
17,red maple,IC+TSI-18-S,Yes,Yes
23,sugar maple,IC+TSI-18-S,Yes,Yes
78,sugar maple,IC+TSI-18-S,Yes,Yes
134,sugar maple,IC+TSI-18-S,Yes,Yes
136,red maple,IC+TSI-18-S,Yes,Yes
137,tulip poplar,IC+TSI-18-S,Yes,Yes
139,red maple,IC+TSI-18-S,Yes,Yes
140,sugar maple,IC+TSI-18-S,Yes,Yes
141,tulip poplar,IC+TSI-18-S,Yes,Yes
154,sugar maple,IC+TSI-18-S,Yes,Yes
155,elm,IC+TSI-18-S,Yes,Yes
156,sugar maple,IC+TSI-18-S,Yes,Yes
157,elm,IC+TSI-18-S,Yes,Yes
166,tulip poplar,IC+TSI-18-S,Yes,Yes
201,red maple,IC+TSI-18-S,Yes,Yes
202,tulip poplar,IC+TSI-18-S,Yes,Yes
212,elm,IC+TSI-18-S,Yes,Yes
215,sugar maple,IC+TSI-18-S,Yes,Yes
216,sugar maple,IC+TSI-18-S,Yes,Yes
217,elm,IC+TSI-18-S,Yes,Yes
218,sugar maple,IC+TSI-18-S,Yes,Yes
219,sugar maple,IC+TSI-18-S,Yes,Yes
220,sugar maple,IC+TSI-18-S,Yes,Yes
221,elm,IC+TSI-18-S,Yes,Yes
222,sugar maple,IC+TSI-18-S,Yes,Yes
224,elm,IC+TSI-18-S,Yes,Yes
225,sugar maple,IC+TSI-18-S,Yes,Yes
226,tulip poplar,IC+TSI-18-S,Yes,Yes
