Date,Tree,Species,Direction,Cover Class,Notes
8/23/2021,969,Buckthorn,N,1,
8/23/2021,969,Multiflora Rose,N,0,
8/23/2021,969,Honeysuckle,N,0,
8/23/2021,969,Privot,N,0,
8/23/2021,969,Spicebush,N,0,
8/23/2021,969,Rubus,N,0,
8/23/2021,969,Mapleleaf Viburnum,N,0,
8/23/2021,969,Buckthorn,S,0,
8/23/2021,969,Multiflora Rose,S,1,
8/23/2021,969,Honeysuckle,S,0,
8/23/2021,969,Privot,S,0,
8/23/2021,969,Spicebush,S,0,
8/23/2021,969,Rubus,S,0,
8/23/2021,969,Mapleleaf Viburnum,S,0,
8/23/2021,282,Buckthorn,N,0,
8/23/2021,282,Multiflora Rose,N,0,
8/23/2021,282,Honeysuckle,N,0,
8/23/2021,282,Privot,N,0,
8/23/2021,282,Spicebush,N,0,
8/23/2021,282,Rubus,N,0,
8/23/2021,282,Mapleleaf Viburnum,N,0,
8/23/2021,282,Buckthorn,S,1,
8/23/2021,282,Multiflora Rose,S,0,
8/23/2021,282,Honeysuckle,S,0,
8/23/2021,282,Privot,S,0,
8/23/2021,282,Spicebush,S,0,
8/23/2021,282,Rubus,S,0,
8/23/2021,282,Mapleleaf Viburnum,S,2,
8/23/2021,283,Buckthorn,N,1,
8/23/2021,283,Multiflora Rose,N,0,
8/23/2021,283,Honeysuckle,N,0,
8/23/2021,283,Privot,N,0,
8/23/2021,283,Spicebush,N,0,
8/23/2021,283,Rubus,N,0,
8/23/2021,283,Mapleleaf Viburnum,N,0,
8/23/2021,251,Buckthorn,N,2,
8/23/2021,251,Multiflora Rose,N,3,
8/23/2021,251,Honeysuckle,N,2,
8/23/2021,251,Privot,N,0,
8/23/2021,251,Spicebush,N,0,
8/23/2021,251,Rubus,N,1,
8/23/2021,251,Mapleleaf Viburnum,N,0,
8/23/2021,251,Buckthorn,S,1,
8/23/2021,251,Multiflora Rose,S,3,
8/23/2021,251,Honeysuckle,S,0,
8/23/2021,251,Privot,S,0,
8/23/2021,251,Spicebush,S,0,
8/23/2021,251,Rubus,S,1,
8/23/2021,251,Mapleleaf Viburnum,S,0,
8/23/2021,280,Buckthorn,N,1,
8/23/2021,280,Multiflora Rose,N,3,
8/23/2021,280,Honeysuckle,N,1,
8/23/2021,280,Privot,N,1,
8/23/2021,280,Spicebush,N,0,
8/23/2021,280,Rubus,N,2,
8/23/2021,280,Mapleleaf Viburnum,N,0,
8/23/2021,280,Buckthorn,S,1,
8/23/2021,280,Multiflora Rose,S,3,
8/23/2021,280,Honeysuckle,S,1,
8/23/2021,280,Privot,S,0,
8/23/2021,280,Spicebush,S,0,
8/23/2021,280,Rubus,S,2,
8/23/2021,280,Mapleleaf Viburnum,S,0,
8/23/2021,274,Buckthorn,N,2,
8/23/2021,274,Multiflora Rose,N,2,
8/23/2021,274,Honeysuckle,N,0,
8/23/2021,274,Privot,N,0,
8/23/2021,274,Spicebush,N,0,
8/23/2021,274,Rubus,N,2,
8/23/2021,274,Mapleleaf Viburnum,N,0,
8/23/2021,274,Buckthorn,S,2,
8/23/2021,274,Multiflora Rose,S,2,
8/23/2021,274,Honeysuckle,S,0,
8/23/2021,274,Privot,S,0,
