Date,Tree,Species,Direction,Cover Class,Notes
9/28/2022,41,Buckthorn,N,0,
9/28/2022,41,Multiflora rose,N,2,
9/28/2022,41,Honeysuckle,N,2,
9/28/2022,41,Privot,N,0,
9/28/2022,41,Spicebush,N,0,
9/28/2022,41,Rubus,N,1,
9/28/2022,41,Mapleleaf viburnum,N,0,
9/28/2022,41,Buckthorn,S,1,
9/28/2022,41,Multiflora rose,S,3,
9/28/2022,41,Honeysuckle,S,1,
9/28/2022,41,Privot,S,0,
9/28/2022,41,Spicebush,S,0,
9/28/2022,41,Rubus,S,1,
9/28/2022,41,Mapleleaf viburnum,S,0,
9/28/2022,388,Buckthorn,N,3,
9/28/2022,388,Multiflora rose,N,2,
9/28/2022,388,Honeysuckle,N,1,
9/28/2022,388,Privot,N,0,
9/28/2022,388,Spicebush,N,0,
9/28/2022,388,Rubus,N,1,
9/28/2022,388,Mapleleaf viburnum,N,0,
9/28/2022,388,Buckthorn,S,2,
9/28/2022,388,Multiflora rose,S,2,
9/28/2022,388,Honeysuckle,S,0,
9/28/2022,388,Privot,S,0,
9/28/2022,388,Spicebush,S,0,
9/28/2022,388,Rubus,S,1,
9/28/2022,388,Mapleleaf viburnum,S,0,
9/28/2022,246,Buckthorn,N,0,
9/28/2022,246,Multiflora rose,N,4,
9/28/2022,246,Honeysuckle,N,1,
9/28/2022,246,Privot,N,0,
9/28/2022,246,Spicebush,N,0,
9/28/2022,246,Rubus,N,1,
9/28/2022,246,Mapleleaf viburnum,N,0,
9/28/2022,246,Buckthorn,S,1,
9/28/2022,246,Multiflora rose,S,6,
9/28/2022,246,Honeysuckle,S,0,
9/28/2022,246,Privot,S,0,
9/28/2022,246,Spicebush,S,0,
9/28/2022,246,Rubus,S,1,
9/28/2022,246,Mapleleaf viburnum,S,0,
9/28/2022,249,Buckthorn,N,1,
9/28/2022,249,Multiflora rose,N,4,
9/28/2022,249,Honeysuckle,N,0,
9/28/2022,249,Privot,N,0,
9/28/2022,249,Spicebush,N,0,
9/28/2022,249,Rubus,N,1,
9/28/2022,249,Mapleleaf viburnum,N,0,
9/28/2022,249,Buckthorn,S,1,
9/28/2022,249,Multiflora rose,S,5,
9/28/2022,249,Honeysuckle,S,2,
9/28/2022,249,Privot,S,0,
9/28/2022,249,Spicebush,S,0,
9/28/2022,249,Rubus,S,1,
9/28/2022,249,Mapleleaf viburnum,S,0,
9/28/2022,103,Buckthorn,N,2,
9/28/2022,103,Multiflora rose,N,3,
9/28/2022,103,Honeysuckle,N,0,
9/28/2022,103,Privot,N,0,
9/28/2022,103,Spicebush,N,0,
9/28/2022,103,Rubus,N,1,
9/28/2022,103,Mapleleaf viburnum,N,0,
9/28/2022,103,Buckthorn,S,1,
9/28/2022,103,Multiflora rose,S,2,
9/28/2022,103,Honeysuckle,S,0,
9/28/2022,103,Privot,S,0,
9/28/2022,103,Spicebush,S,0,
9/28/2022,103,Rubus,S,1,
9/28/2022,103,Mapleleaf viburnum,S,0,
9/28/2022,104,Buckthorn,N,0,
9/28/2022,104,Multiflora rose,N,3,
9/28/2022,104,Honeysuckle,N,1,
9/28/2022,104,Privot,N,0,
9/28/2022,104,Spicebush,N,0,
9/28/2022,104,Rubus,N,1,
9/28/2022,104,Mapleleaf viburnum,N,0,
9/28/2022,104,Buckthorn,S,1,
9/28/2022,104,Multiflora rose,S,4,
9/28/2022,104,Honeysuckle,S,0,
