Missing invasive cover:,,,,
Tree,Species,Plot_ID,Valid,
388,red maple,C-18-S,Yes,
261,sugar maple,IC+TSI-18-N,No,
366,sugar maple,IC+TSI-18-N,Yes,
342,elm,IC+TSI-19-M,Yes,
356,red maple,IC+TSI-19-N,Yes,
358,sugar maple,IC-18-N,Yes,
41,red maple,IC-18-S,Yes,
103,sugar maple,IC-19-M,Yes,
104,red maple,IC-19-M,Maybe,
246,sugar maple,IC-19-M,Yes,
249,elm,IC-19-M,Yes,
347,sugar maple,IC-19-N,Yes,
,,,,
Missing N plot:,,,,
Tree,Species,Plot_ID,Valid,
355,red maple,IC+TSI-19-N,Yes,Supposed to have bands
25,red maple,IC-18-S,Yes,small
910,elm,IC-18-S,Yes,small
,,,,
Check (has full woody survey but not recorded as having 4-m plots):,,,,
Tree,Species,Plot_ID,Valid,
311,red maple,C-18-S,Yes,
