Date,Tree,Species,Direction,Cover Class
24-May,150,Buckthorn,N,0
24-May,150,Multiflora rose,N,0
24-May,150,Honeysuckle,N,0
24-May,150,Privot,N,0
24-May,150,Spicebush,N,1
24-May,150,Rubus,N,0
24-May,150,Mapleleaf viburnum,N,0
24-May,150,Buckthorn,S,0
24-May,150,Multiflora rose,S,1
24-May,150,Honeysuckle,S,0
24-May,150,Privot,S,0
24-May,150,Spicebush,S,0
24-May,150,Rubus,S,1
24-May,150,Mapleleaf viburnum,S,1
24-May,927,Buckthorn,N,1
24-May,927,Multiflora rose,N,0
24-May,927,Honeysuckle,N,0
24-May,927,Privot,N,0
24-May,927,Spicebush,N,0
24-May,927,Rubus,N,1
24-May,927,Mapleleaf viburnum,N,0
24-May,927,Buckthorn,S,0
24-May,927,Multiflora rose,S,0
24-May,927,Honeysuckle,S,0
24-May,927,Privot,S,0
24-May,927,Spicebush,S,0
24-May,927,Rubus,S,0
24-May,927,Mapleleaf viburnum,S,0
24-May,248,Buckthorn,N,0
24-May,248,Multiflora rose,N,4
24-May,248,Honeysuckle,N,1
24-May,248,Privot,N,0
24-May,248,Spicebush,N,1
24-May,248,Rubus,N,1
24-May,248,Mapleleaf viburnum,N,0
24-May,248,Buckthorn,S,1
24-May,248,Multiflora rose,S,4
24-May,248,Honeysuckle,S,0
24-May,248,Privot,S,0
24-May,248,Spicebush,S,1
24-May,248,Rubus,S,0
24-May,248,Mapleleaf viburnum,S,0
24-May,149,Buckthorn,N,1
24-May,149,Multiflora rose,N,3
24-May,149,Honeysuckle,N,0
24-May,149,Privot,N,0
24-May,149,Spicebush,N,1
24-May,149,Rubus,N,0
24-May,149,Mapleleaf viburnum,N,0
24-May,149,Buckthorn,S,0
24-May,149,Multiflora rose,S,5
24-May,149,Honeysuckle,S,0
24-May,149,Privot,S,0
24-May,149,Spicebush,S,1
24-May,149,Rubus,S,0
24-May,149,Mapleleaf viburnum,S,0
24-May,54,Buckthorn,N,1
24-May,54,Multiflora rose,N,0
24-May,54,Honeysuckle,N,1
24-May,54,Privot,N,0
24-May,54,Spicebush,N,0
24-May,54,Rubus,N,1
24-May,54,Mapleleaf viburnum,N,1
24-May,54,Buckthorn,S,0
24-May,54,Multiflora rose,S,1
24-May,54,Honeysuckle,S,0
24-May,54,Privot,S,0
24-May,54,Spicebush,S,0
24-May,54,Rubus,S,0
24-May,54,Mapleleaf viburnum,S,0
24-May,44,Buckthorn,N,1
24-May,44,Multiflora rose,N,0
24-May,44,Honeysuckle,N,1
24-May,44,Privot,N,0
24-May,44,Spicebush,N,0
24-May,44,Rubus,N,1
24-May,44,Mapleleaf viburnum,N,1
24-May,44,Buckthorn,S,0
24-May,44,Multiflora rose,S,1
24-May,44,Honeysuckle,S,0
24-May,44,Privot,S,0
24-May,44,Spicebush,S,0
24-May,44,Rubus,S,0
24-May,44,Mapleleaf viburnum,S,0
24-May,913,Buckthorn,N,0
24-May,913,Multiflora rose,N,3
24-May,913,Honeysuckle,N,0
24-May,913,Privot,N,0
24-May,913,Spicebush,N,0
24-May,913,Rubus,N,1
24-May,913,Mapleleaf viburnum,N,0
24-May,913,Buckthorn,S,1
24-May,913,Multiflora rose,S,2
24-May,913,Honeysuckle,S,0
24-May,913,Privot,S,0
24-May,913,Spicebush,S,1
24-May,913,Rubus,S,0
24-May,913,Mapleleaf viburnum,S,0
24-May,912,Buckthorn,N,1
24-May,912,Multiflora rose,N,2
24-May,912,Honeysuckle,N,1
24-May,912,Privot,N,0
24-May,912,Spicebush,N,0
24-May,912,Rubus,N,1
24-May,912,Mapleleaf viburnum,N,0
24-May,912,Buckthorn,S,1
24-May,912,Multiflora rose,S,2
24-May,912,Honeysuckle,S,0
24-May,912,Privot,S,0
24-May,912,Spicebush,S,0
24-May,912,Rubus,S,0
24-May,912,Mapleleaf viburnum,S,0
24-May,46,Buckthorn,N,1
24-May,46,Multiflora rose,N,1
24-May,46,Honeysuckle,N,0
24-May,46,Privot,N,0
24-May,46,Spicebush,N,0
24-May,46,Rubus,N,0
24-May,46,Mapleleaf viburnum,N,0
24-May,46,Buckthorn,S,1
24-May,46,Multiflora rose,S,1
24-May,46,Honeysuckle,S,0
24-May,46,Privot,S,0
24-May,46,Spicebush,S,0
24-May,46,Rubus,S,1
24-May,46,Mapleleaf viburnum,S,0
24-May,40,Buckthorn,N,1
24-May,40,Multiflora rose,N,1
24-May,40,Honeysuckle,N,0
24-May,40,Privot,N,0
24-May,40,Spicebush,N,1
24-May,40,Rubus,N,0
24-May,40,Mapleleaf viburnum,N,0
24-May,40,Buckthorn,S,1
24-May,40,Multiflora rose,S,1
24-May,40,Honeysuckle,S,0
24-May,40,Privot,S,0
24-May,40,Spicebush,S,0
24-May,40,Rubus,S,0
24-May,40,Mapleleaf viburnum,S,0
24-May,43,Buckthorn,N,0
24-May,43,Multiflora rose,N,0
