Tree,Species,Direction,Cover.Class,Notes
219,Buckthorn,N,0,tag missing
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,1,
,Mapleleaf Viburnum,S,0,
123,Buckthorn,N,1,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,1,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
201,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,1,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,1,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
222,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
216,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,1,
,Mapleleaf Viburnum,S,0,
215,Buckthorn,N,0,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,1,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
217,Buckthorn,N,0,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
212,Buckthorn,N,0,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
140,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
202,Buckthorn,N,0,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
