Tree,Species,Direction,Cover.Class,Notes
894,Buckthorn,N,1,
894,Multiflora rose,N,0,
894,Honeysuckle,N,0,
894,Privot,N,0,
894,Spicebush,N,0,
894,Rubus,N,0,
894,Mapleleaf Viburnum,N,1,
894,Buckthorn,S,2,
894,Multiflora rose,S,0,
894,Honeysuckle,S,0,
894,Privot,S,1,
894,Spicebush,S,0,
894,Rubus,S,0,
894,Mapleleaf Viburnum,S,0,
360,Buckthorn,N,0,
360,Multiflora rose,N,0,
360,Honeysuckle,N,0,
360,Privot,N,0,
360,Spicebush,N,0,
360,Rubus,N,0,
360,Mapleleaf Viburnum,N,1,
360,Buckthorn,S,1,
360,Multiflora rose,S,0,
360,Honeysuckle,S,0,
360,Privot,S,0,
360,Spicebush,S,0,
360,Rubus,S,0,
360,Mapleleaf Viburnum,S,0,
219,Buckthorn,N,0,tag missing
219,Multiflora rose,N,0,
219,Honeysuckle,N,0,
219,Privot,N,0,
219,Spicebush,N,0,
219,Rubus,N,0,
219,Mapleleaf Viburnum,N,0,
219,Buckthorn,S,0,
219,Multiflora rose,S,0,
219,Honeysuckle,S,0,
219,Privot,S,0,
219,Spicebush,S,0,
219,Rubus,S,1,
219,Mapleleaf Viburnum,S,0,
123,Buckthorn,N,1,
123,Multiflora rose,N,0,
123,Honeysuckle,N,0,
123,Privot,N,0,
123,Spicebush,N,0,
123,Rubus,N,0,
123,Mapleleaf Viburnum,N,0,
123,Buckthorn,S,1,
123,Multiflora rose,S,0,
123,Honeysuckle,S,0,
123,Privot,S,1,
123,Spicebush,S,0,
123,Rubus,S,0,
123,Mapleleaf Viburnum,S,0,
201,Buckthorn,N,0,
201,Multiflora rose,N,0,
201,Honeysuckle,N,1,
201,Privot,N,0,
201,Spicebush,N,0,
201,Rubus,N,0,
201,Mapleleaf Viburnum,N,1,
201,Buckthorn,S,1,
201,Multiflora rose,S,1,
201,Honeysuckle,S,0,
201,Privot,S,0,
201,Spicebush,S,0,
201,Rubus,S,0,
201,Mapleleaf Viburnum,S,0,
222,Buckthorn,N,0,
222,Multiflora rose,N,0,
222,Honeysuckle,N,0,
222,Privot,N,0,
222,Spicebush,N,0,
222,Rubus,N,0,
222,Mapleleaf Viburnum,N,0,
222,Buckthorn,S,0,
222,Multiflora rose,S,0,
222,Honeysuckle,S,0,
222,Privot,S,0,
222,Spicebush,S,0,
222,Rubus,S,0,
222,Mapleleaf Viburnum,S,0,
216,Buckthorn,N,0,
216,Multiflora rose,N,0,
216,Honeysuckle,N,0,
216,Privot,N,0,
216,Spicebush,N,0,
216,Rubus,N,0,
216,Mapleleaf Viburnum,N,0,
216,Buckthorn,S,1,
216,Multiflora rose,S,1,
216,Honeysuckle,S,0,
216,Privot,S,0,
216,Spicebush,S,0,
216,Rubus,S,1,
216,Mapleleaf Viburnum,S,0,
215,Buckthorn,N,0,
215,Multiflora rose,N,1,
215,Honeysuckle,N,0,
215,Privot,N,0,
215,Spicebush,N,0,
215,Rubus,N,1,
215,Mapleleaf Viburnum,N,0,
215,Buckthorn,S,0,
215,Multiflora rose,S,1,
215,Honeysuckle,S,0,
215,Privot,S,0,
215,Spicebush,S,0,
215,Rubus,S,0,
215,Mapleleaf Viburnum,S,0,
217,Buckthorn,N,0,
217,Multiflora rose,N,1,
217,Honeysuckle,N,0,
217,Privot,N,0,
217,Spicebush,N,0,
217,Rubus,N,0,
217,Mapleleaf Viburnum,N,0,
217,Buckthorn,S,1,
217,Multiflora rose,S,1,
217,Honeysuckle,S,0,
217,Privot,S,0,
217,Spicebush,S,0,
217,Rubus,S,0,
217,Mapleleaf Viburnum,S,0,
212,Buckthorn,N,0,
212,Multiflora rose,N,1,
212,Honeysuckle,N,0,
212,Privot,N,0,
212,Spicebush,N,0,
212,Rubus,N,0,
212,Mapleleaf Viburnum,N,0,
212,Buckthorn,S,1,
212,Multiflora rose,S,1,
212,Honeysuckle,S,0,
212,Privot,S,0,
212,Spicebush,S,0,
212,Rubus,S,0,
212,Mapleleaf Viburnum,S,0,
140,Buckthorn,N,0,
140,Multiflora rose,N,0,
140,Honeysuckle,N,0,
140,Privot,N,0,
140,Spicebush,N,0,
140,Rubus,N,0,
140,Mapleleaf Viburnum,N,0,
140,Buckthorn,S,0,
140,Multiflora rose,S,0,
140,Honeysuckle,S,0,
140,Privot,S,0,
140,Spicebush,S,0,
140,Rubus,S,0,
140,Mapleleaf Viburnum,S,0,
202,Buckthorn,N,0,
202,Multiflora rose,N,1,
202,Honeysuckle,N,0,
202,Privot,N,0,
202,Spicebush,N,0,
202,Rubus,N,0,
202,Mapleleaf Viburnum,N,0,
