Tree,Species,Direction,Cover Class,,
2,Buckthorn,N,1,,
,Multiflora rose,N,1,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,1,,
,Mapleleaf viburnum,N,0,,
2,Buckthorn,S,1,,
,Multiflora rose,S,1,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,0,,
,Mapleleaf viburnum,S,0,,
156,Buckthorn,N,1,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
156,Buckthorn,S,1,,
,Multiflora rose,S,0,,
,Honeysuckle,S,0,,
,Privet,S,1,,
,Spicebush,S,0,,
,Rubus,S,0,,
,Mapleleaf viburnum,S,0,,
141,Buckthorn,N,1,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
141,Buckthorn,S,1,,
,Multiflora rose,S,0,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,1,,
,Mapleleaf viburnum,S,0,,
224,Buckthorn,N,0,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
224,Buckthorn,S,0,,
,Multiflora rose,S,0,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,0,,
,Mapleleaf viburnum,S,0,,
1,Buckthorn,N,1,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
1,Buckthorn,S,1,,
,Multiflora rose,S,1,,
,Honeysuckle,S,1,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,1,,
,Mapleleaf viburnum,S,0,,
226,Buckthorn,N,1,,
,Honeysuckle,N,1,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,1,,
,Mapleleaf viburnum,N,0,,
226,Buckthorn,S,0,,
,Multiflora rose,S,1,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,1,,
,Rubus,S,1,,
,Mapleleaf viburnum,S,0,,
7,Buckthorn,N,1,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,1,,
,Mapleleaf viburnum,N,0,,
7,Buckthorn,S,1,,
,Multiflora rose,S,0,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,1,,
,Mapleleaf viburnum,S,0,,
11,Buckthorn,N,1,,
,Multiflora rose,N,0,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
11,Buckthorn,S,1,,
,Multiflora rose,S,1,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,1,,
,Mapleleaf viburnum,S,0,,
154,Buckthorn,N,1,,
,Multiflora rose,N,1,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
154,Buckthorn,S,1,,
,Multiflora rose,S,1,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,1,,
,Mapleleaf viburnum,S,0,,
17,Buckthorn,N,1,,
,Multiflora rose,N,1,,
,Honeysuckle,N,0,,
,Privet,N,0,,
,Spicebush,N,0,,
,Rubus,N,0,,
,Mapleleaf viburnum,N,0,,
17,Buckthorn,S,1,,
,Multiflora rose,S,1,,
,Honeysuckle,S,0,,
,Privet,S,0,,
,Spicebush,S,0,,
,Rubus,S,0,,
,Mapleleaf viburnum,S,0,,
260,Buckthorn,N,1,,
260,Multiflora rose,N,1,,
260,Honeysuckle,N,0,,
260,Privet,N,0,,
260,Spicebush,N,0,,
260,Rubus,N,0,,
260,Mapleleaf viburnum,N,0,,
260,Buckthorn,S,1,,
260,Multiflora rose,S,1,,
260,Honeysuckle,S,0,,
260,Privet,S,0,,
260,Spicebush,S,0,,
260,Rubus,S,0,,
260,Mapleleaf viburnum,S,0,,
329,Buckthorn,N,1,,
329,Multiflora rose,N,1,,
329,Honeysuckle,N,1,,
329,Privet,N,0,,
329,Spicebush,N,0,,
329,Rubus,N,0,,
329,Mapleleaf viburnum,N,0,,
329,Buckthorn,S,1,,
329,Multiflora rose,S,1,,
329,Honeysuckle,S,0,,
329,Privet,S,0,,
329,Spicebush,S,0,,
329,Rubus,S,0,,
329,Mapleleaf viburnum,S,0,,
327,Buckthorn,N,1,,
327,Multiflora rose,N,0,,
327,Honeysuckle,N,0,,
327,Privet,N,0,,
327,Spicebush,N,0,,
327,Rubus,N,0,,
327,Mapleleaf viburnum,N,0,,
