,Tree,Species,Plot_ID,Treatment,Treatment_2019,TreatmentYear,Block,Size,Notes,Valid,DBH2018,DBH2019,SmallTreeDBH2018,SmallTreeHeight2018,Smalltree2018measurementnotes,BandPresent2018,BandPresent2019,HerbSurveys2018,HerbSurveys2019,EphemeralSurveys2019,SeedlingPlots2018,SeedlingPlots2019,FourmSurveys2018,TenmSurveys2018,VisualCover2018,VisualCover2019,Greaterthan20_2019,MeanPercentopenness2018,MeanPercentopenness2019,PhotoObstruction,HemiDifference,meanVWC2019,meanVWC2019_corrected,meanPER2019,VWC_ref,PER_ref
1,1,red maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,28.5,29,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,29.405,Yes,NA,21.9,21.9,1.4585,31.975,1.61625
2,10,sugar maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,8.9,9,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.8875,Yes,NA,21.725,21.725,1.45575,31.975,1.61625
3,100,sugar maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,10.6,10.7,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,28.6275,23.6025,No,-5.025,8.05,8.81786552,1.2415,28.925,1.5675
4,101,red maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,10.3,10.7,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,27.7975,31.07,No,3.2725,25.1,25.1,1.507,31.975,1.61625
5,102,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,13.4,13.6,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,NA,41.8525,Yes,NA,20.6,21.40531665,1.43925,30.725,1.5965
6,103,sugar maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,9.5,9.6,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,21.0975,No,NA,21.175,21.60545348,1.448,31.325,1.60625
7,104,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,12.3,12.4,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.4225,No,NA,21.95,22.39620798,1.4595,31.325,1.60625
8,105,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,14.4,14.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,39.69,Yes,NA,19.475,20.23633698,1.4225,30.725,1.5965
9,106,tulip poplar,IC-19-M,IC,Control,2019,Middle,Large,,Yes,24.3,24.8,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,31.685,No,NA,22.475,22.93188038,1.46775,31.325,1.60625
10,107,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,15.2,15.3,NA,NA,NA,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,NA,37.9425,No,NA,22.25,22.70230649,1.46425,31.325,1.60625
