Species,Number,Plot,Number of trunks,DBH_1,DBH_2,DBH_3,DBH_4,DBH_5,Girdled?,Felled?,Not Cut?
REMA,17,IC-18-S,2,6.8,32.9,0,0,0,Yes ,No,No
REMA,242,IC+TSI-19-N,2,7.9,32,,,,Yes,No,No
REMA,204,IC-19-N,4,8.8,19.6,18.7,20.8,,Yes,No,No
ULAM,184,IC-19-N,1,9,,,,,No,Yes,No
REMA,59,IC+TSI-19-S,4,9.2,8.4,20.6,16.6,,Yes,No,No
REMA,128,IC+TSI-19-M,3,9.5,20.6,22.7,,,Yes,No,No
REMA,180,IC-19-N,1,10.5,,,,,No,Yes,No
REMA,211,IC-18-N,1,10.7,0,0,0,0,No,Yes,No
SUMA,84,IC-18-M,1,11.3,0,0,0,0,No,Yes,No
REMA,231,IC+TSI-19-N,2,11.5,8.6,,,,Yes,Yes,No
SUMA,61,IC+TSI-19-S,1,11.7,,,,,No,Yes,No
REMA,64,IC+TSI-18-M,1,11.8,0,0,0,0,No,Yes,No
REMA,158,IC-18-N,1,12.1,0,0,0,0,No,No,Yes
REMA,221,IC-19-N,2,12.1,20.5,,,,Yes,No,No
REMA,213,IC-19-N,1,12.2,,,,,Yes,No,No
REMA,60,IC+TSI-19-S,1,12.5,,,,,No,Yes,No
REMA,233,IC+TSI-19-N,2,12.7,8.7,,,,Yes,No,No
REMA,135,IC+TSI-19-M,2,12.9,22.6,,,,Yes,No,No
REMA,194,IC-19-N,4,13.2,32.1,11,7,,Yes,Yes,No
REMA,110,IC-19-M,2,13.3,18.5,,,,Yes,No,No
REMA,130,IC+TSI-19-M,2,13.4,15.1,,,,Yes,No,No
REMA,168,IC-19-N,4,13.6,29.8,37.3,38.6,,Yes,No,No
REMA,203,IC-19-N,1,13.8,,,,,Yes,No,No
REMA,149,IC+TSI-19-M,3,13.8,22.3,21,,,Yes,No,No
REMA,156,IC-18-N,1,13.9,0,0,0,0,No,No,Yes
REMA,249,IC+TSI-19-N,1,14,,,,,No,Yes,No
REMA,155,IC-18-N,2,14.3,15.4,0,0,0,Yes,No,No
REMA,222,IC-19-N,3,14.4,15,7,,,Yes,No,No
REMA,126,IC+TSI-19-M,3,14.4,19.8,14.2,,,Yes,No,No
REMA,225,IC-19-N,4,14.5,27.1,25.9,11.8,,Yes,No,No
REMA,210,IC-18-N,1,14.6,0,0,0,0,No,Yes,No
REMA,165,IC-19-N,1,14.6,,,,,No,Yes,No
REMA,201,IC-19-N,1,14.8,,,,,No,Yes,No
REMA,182,IC-19-N,1,14.8,,,,,Yes,No,No
REMA,189,IC-19-N,1,14.8,,,,,Yes,No,No
REMA,212,IC-19-N,2,15.5,17.5,,,,Yes,No,No
WHAS,4,IC-19-S,1,15.7,,,,,Yes,No,No
REMA,234,IC+TSI-19-N,1,15.8,,,,,Yes,No,No
REMA,170,IC+TSI-18-N,1,16,0,0,0,0,No,Yes,No
TUPO,81,IC-18-M,1,16.2,0,0,0,0,Yes,No,No
REMA,45,IC+TSI-19-S,1,16.3,,,,,Yes,No,No
BASS,226,IC+TSI-18-S,4,16.4,33.4,35,17.4,0,Yes,Yes,No
REMA,32,IC-18-S,1,16.5,0,0,0,0,No,Yes,No
ULAM,1,IC-19-S,1,16.5,,,,,Yes,No,No
REMA,111,IC-19-M,2,16.8,22.7,,,,Yes,No,No
REMA,226,IC-19-N,1,17.1,,,,,Yes,No,No
TUPO,41,IC-18-M,1,17.1,0,0,0,0,Yes,No,No
REMA,58,IC+TSI-19-S,2,17.2,7.7,,,,Yes,No,No
REMA,124,IC-18-N,1,17.4,0,0,0,0,No,Yes,No
REMA,235,IC+TSI-19-N,1,17.4,,,,,Yes,No,No
REMA,142,IC+TSI-19-M,4,17.4,19.7,23.3,21.8,,Yes,No,No
REMA,199,IC-18-N,1,17.5,0,0,0,0,Yes,No,No
REMA,202,IC-19-N,2,17.5,15.6,,,,Yes,No,No
REMA,190,IC-19-N,3,17.6,16,14.9,,,Yes,No,No
TUPO,252,IC+TSI-19-N,1,17.7,,,,,Yes,No,No
REMA,265,IC+TSI-19-N,1,17.8,,,,,Yes,No,No
REMA,26,IC-19-S,3,17.8,20.1,20.8,,,Yes,No,No
TUPO,167,IC-19-N,1,17.9,,,,,No,Yes,No
REMA,206,IC-19-N,2,17.9,19.3,,,,Yes,No,No
REMA,205,IC-19-N,2,18,10.5,,,,Yes,No,No
REMA,185,IC-19-N,1,18.1,,,,,Yes,No,No
REMA,63,IC+TSI-18-M,1,18.3,0,0,0,0,No,Yes,No
REMA,33,IC-19-S,3,18.4,26.1,45,,,Yes,No,No
REMA,200,IC-19-N,1,18.6,,,,,Yes,No,No
BIAS,106,IC-18-N,1,18.7,0,0,0,0,Yes,No,No
REMA,163,IC-19-N,1,18.7,,,,,Yes,No,No
REMA,207,IC-19-N,3,18.7,28.4,13.1,,,Yes,No,No
SUMA,61,IC+TSI-18-M,1,18.7,0,0,0,0,Yes,No,No
REMA,173,IC-19-N,2,18.8,11.2,,,,Yes,No,No
REMA,177,IC-19-N,1,18.9,,,,,Yes,No,No
REMA,66,IC+TSI-19-S,3,19.3,37.2,38.1,,,Yes,No,No
TUPO,28,IC-19-S,1,19.4,,,,,Yes,No,No
REMA,216,IC-18-N,1,19.5,0,0,0,0,No,Yes,No
TUPO,228,IC+TSI-19-N,1,19.5,,,,,Yes,No,No
REMA,79,IC-19-M,2,19.5,28.6,,,,Yes,No,No
TUPO,13,IC-19-S,1,19.5,,,,,Yes,No,No
REMA,215,IC-19-N,1,19.7,,,,,Yes,No,No
REMA,172,IC+TSI-18-N,2,19.7,22.4,0,0,0,Yes,No,No
TUPO,178,IC+TSI-18-N,1,19.7,0,0,0,0,Yes,No,No
REMA,251,IC+TSI-19-N,4,19.7,28.8,40.4,37.9,,Yes,No,No
REMA,196,IC-19-N,1,19.9,,,,,Yes,No,No
REMA,214,IC-19-N,1,20,,,,,Yes,No,No
REMA,243,IC+TSI-19-N,2,20,30.5,,,,Yes,No,No
REMA,55,IC+TSI-19-S,2,20,34.8,,,,Yes,No,No
TUPO,187,IC-19-N,1,20.1,,,,,Yes,No,No
REMA,219,IC+TSI-18-S,3,20.2,21.3,26.9,0,0,Yes,No,No
TUPO,195,IC-18-N,1,20.3,0,0,0,0,Yes,No,No
REMA,179,IC-19-N,1,20.3,,,,,Yes,No,No
BASS,120,IC-19-M,1,20.3,,,,,Yes,No,No
REMA,192,IC-19-N,1,20.4,,,,,Yes,No,No
TUPO,79,IC-18-M,1,20.4,0,0,0,0,Yes,No,No
BIAS,191,IC-18-N,1,20.5,0,0,0,0,Yes,No,No
REMA,209,IC-18-N,1,20.5,0,0,0,0,Yes,No,No
REMA,181,IC-19-N,1,20.7,,,,,Yes,No,No
REMA,30,IC-18-S,5,20.7,17.7,22.6,36.5,17,Yes,No,No
REMA,152,IC-18-N,2,20.8,7,0,0,0,Yes,No,No
REMA,194,IC-18-N,1,20.8,0,0,0,0,Yes,No,No
REMA,227,IC-19-N,2,20.8,15,,,,Yes,No,No
SUMA,35,IC-18-M,1,20.8,0,0,0,0,Yes,No,No
TUPO,75,IC-18-M,1,21,0,0,0,0,Yes,No,No
REMA,127,IC+TSI-19-M,2,21.1,25.5,,,,Yes,No,No
REMA,162,IC-19-N,1,21.2,,,,,Yes,No,No
REOA,113,IC-19-M,1,21.3,,,,,Yes,No,No
REMA,85,IC+TSI-18-M,1,21.3,0,0,0,0,Yes,No,No
REMA,123,IC+TSI-19-M,2,21.3,,,,,Yes,Yes,No
TUPO,29,IC-19-S,1,21.3,,,,,Yes,No,No
REMA,129,IC+TSI-19-M,2,21.4,15.6,,,,Yes,No,No
REMA,159,IC-19-N,1,21.5,,,,,Yes,No,No
REMA,198,IC-19-N,1,21.5,,,,,Yes,No,No
REMA,106,IC-19-M,1,21.5,,,,,Yes,No,No
REMA,154,IC-18-N,1,21.7,0,0,0,0,Yes,No,No
SASS,15,IC-18-S,1,21.7,0,0,0,0,Yes,Yes,No
BIAS,134,IC-18-N,1,21.8,0,0,0,0,Yes,No,No
TUPO,250,IC+TSI-19-N,2,21.8,30,,,,Yes,Yes,No
SUMA,85,IC-19-M,3,22,30.1,38.8,,,Yes,No,No
REMA,36,IC-19-S,2,22,38,,,,Yes,No,No
REMA,26,IC-18-S,4,22.1,25.4,19.8,13,0,Yes,No,No
REMA,87,IC+TSI-18-M,1,22.2,0,0,0,0,No,Yes,No
REMA,188,IC-19-N,3,22.2,18.7,22.1,,,Yes,No,No
TUPO,90,IC-19-M,1,22.2,,,,,Yes,No,No
BASS,91,IC-19-M,1,22.3,,,,,No,Yes,No
REMA,193,IC-19-N,1,22.3,,,,,Yes,No,No
TUPO,78,IC-18-M,2,22.5,26,0,0,0,Yes,No,No
REMA,152,IC+TSI-19-M,2,22.7,52.8,,,,Yes,No,No
REMA,54,IC+TSI-19-S,4,22.7,22,18.2,17.8,,Yes,No,No
PINE,126,IC+TSI-18-N,1,22.8,0,0,0,0,No,No,Yes
REMA,42,IC+TSI-19-S,2,22.8,17.5,,,,No,No,Yes
REMA,215,IC-18-N,1,22.8,0,0,0,0,Yes,No,No
TUPO,195,IC-19-N,1,22.8,,,,,Yes,No,No
REMA,229,IC+TSI-19-N,1,22.9,,,,,Yes,No,No
REMA,74,IC+TSI-19-S,4,22.9,22,18.3,22.1,,Yes,No,No
TUPO,212,IC-18-N,1,23,0,0,0,0,Yes,No,No
REMA,170,IC-19-N,1,23,,,,,Yes,No,No
REMA,175,IC-19-N,2,23,12.3,,,,Yes,No,No
REMA,254,IC+TSI-19-N,1,23,,,,,Yes,No,No
TUPO,80,IC-18-M,1,23,0,0,0,0,Yes,No,No
REMA,137,IC+TSI-19-M,2,23,21.6,,,,Yes,No,No
BASS,7,IC-19-S,1,23,,,,,Yes,No,No
REOA,257,IC+TSI-19-N,1,23.1,,,,,Yes,No,No
BIAS,47,IC-18-M,1,23.1,0,0,0,0,Yes,No,No
REMA,199,IC-19-N,1,23.2,,,,,Yes,No,No
TUPO,43,IC-18-M,1,23.2,0,0,0,0,Yes,No,No
REOA,112,IC-19-M,1,23.3,,,,,Yes,No,No
TUPO,76,IC+TSI-19-S,2,23.3,24.5,,,,Yes,No,No
REMA,148,IC-18-N,1,23.4,0,0,0,0,Yes,No,No
REMA,125,IC+TSI-19-M,1,23.4,,,,,Yes,No,No
AMBE,3,IC-19-S,1,23.4,,,,,Yes,No,No
BIAS,133,IC-18-N,1,23.5,0,0,0,0,Yes,No,No
REMA,153,IC-18-N,1,23.5,0,0,0,0,Yes,No,No
REMA,176,IC+TSI-18-N,1,23.5,0,0,0,0,Yes,No,No
REMA,88,IC+TSI-18-M,1,23.5,0,0,0,0,Yes,No,No
REMA,63,IC+TSI-19-S,2,23.8,27.2,,,,Yes,No,No
REMA,210,IC-19-N,1,23.9,,,,,Yes,No,No
SUMA,70,IC-18-M,1,23.9,0,0,0,0,Yes,No,No
TUPO,22,IC-18-S,1,23.9,0,0,0,0,Yes,No,No
REMA,208,IC-18-N,1,24.1,0,0,0,0,Yes,No,No
REMA,263,IC+TSI-19-N,2,24.1,34.7,,,,Yes,No,No
REMA,178,IC-19-N,1,24.2,,,,,Yes,No,No
TUPO,30,IC-19-S,2,24.2,32.8,,,,Yes,No,No
REMA,172,IC-19-N,1,24.4,,,,,Yes,No,No
REMA,52,IC+TSI-18-M,2,24.4,27.8,0,0,0,Yes,No,No
BIAS,187,IC-18-N,1,24.5,0,0,0,0,Yes,No,No
SPRU,138,IC-18-N,1,24.6,0,0,0,0,No,Yes,No
BIAS,186,IC-18-N,1,24.6,0,0,0,0,Yes,No,No
TUPO,38,IC-19-S,1,24.6,,,,,Yes,No,No
REMA,2,IC+TSI-18-S,2,24.6,35.2,0,0,0,Yes,No,No
BIAS,105,IC+TSI-18-N,1,24.7,0,0,0,0,No,Yes,No
REMA,238,IC+TSI-19-N,2,24.8,12.9,,,,Yes,No,No
SUMA,80,IC-19-M,2,24.9,24.8,,,,Yes,No,No
BIAS,190,IC+TSI-18-N,1,25,0,0,0,0,No,Yes,No
REMA,169,IC-19-N,2,25,27.3,,,,Yes,No,No
TUPO,21,IC-18-S,1,25,0,0,0,0,Yes,No,No
PINE,125,IC+TSI-18-N,1,25.2,0,0,0,0,Yes,No,No
TUPO,62,IC+TSI-18-M,1,25.2,0,0,0,0,Yes,No,No
BIAS,7,IC+TSI-18-S,1,25.2,0,0,0,0,Yes,No,No
REMA,218,IC-19-N,2,25.3,,,,,Yes,No,No
REMA,171,IC-19-N,1,25.4,,,,,Yes,No,No
TUPO,72,IC-18-M,1,25.4,0,0,0,0,Yes,No,No
SUMA,150,IC+TSI-19-M,2,25.4,11,,,,Yes,No,No
REMA,23,IC-18-S,2,25.4,18.7,0,0,0,Yes,No,No
BASS,2,IC-19-S,2,25.5,,,,,Yes,Yes,No
REMA,174,IC-19-N,1,25.6,,,,,Yes,No,No
REMA,156,IC+TSI-19-M,2,25.6,30.7,,,,Yes,No,No
REMA,116,IC+TSI-18-N,1,25.7,0,0,0,0,Yes,No,No
BLCH,255,IC+TSI-19-N,1,25.7,,,,,Yes,No,No
REMA,176,IC-19-N,1,25.8,,,,,Yes,No,No
TUPO,177,IC+TSI-18-N,1,25.8,0,0,0,0,Yes,No,No
REMA,95,IC+TSI-18-M,1,25.8,0,0,0,0,Yes,No,No
TUPO,175,IC+TSI-18-N,1,26,0,0,0,0,Yes,No,No
SUMA,36,IC-18-M,1,26,0,0,0,0,Yes,No,No
BASS,10,IC-19-S,1,26,,,,,Yes,No,No
TUPO,53,IC+TSI-19-S,2,26,43.2,,,,Yes,No,Yes
BASS,92,IC-19-M,1,26.1,,,,,No,Yes,No
REMA,138,IC+TSI-19-M,3,26.1,27.5,28.3,,,Yes,No,No
TUPO,50,IC+TSI-19-S,2,26.1,31.5,,,,Yes,No,No
TUPO,77,IC-18-M,1,26.2,0,0,0,0,Yes,No,No
REOA,224,IC+TSI-18-S,1,26.3,0,0,0,0,No,No,Yes
TUPO,71,IC+TSI-19-S,1,26.3,,,,,Yes,No,No
REMA,244,IC+TSI-19-N,2,26.4,41.6,,,,Yes,No,No
BASS,13,IC-18-S,1,26.4,0,0,0,0,Yes,No,No
REMA,87,IC-19-M,1,26.6,,,,,Yes,No,No
REMA,103,IC-19-M,1,26.6,,,,,Yes,No,No
REMA,5,IC+TSI-18-S,3,26.6,25.1,16,0,0,Yes,Yes,No
TUPO,72,IC+TSI-19-S,1,26.7,,,,,Yes,No,No
REMA,139,IC+TSI-19-M,1,26.8,,,,,Yes,No,No
REMA,101,IC+TSI-18-M,2,27,26,0,0,0,yes,No,No
PINE,129,IC+TSI-18-N,1,27.1,0,0,0,0,Yes,No,No
REMA,89,IC-19-M,1,27.1,,,,,Yes,No,No
TUPO,116,IC-19-M,2,27.1,30.7,,,,Yes,No,No
REMA,218,IC+TSI-18-S,3,27.1,35.2,31,0,0,Yes,No,No
REMA,86,IC+TSI-18-M,1,27.2,0,0,0,0,es,No,No
REMA,169,IC+TSI-18-N,1,27.2,0,0,0,0,No,No,Yes
REMA,9,IC+TSI-18-S,1,27.2,0,0,0,0,Yes,No,No
TUPO,96,IC-19-M,1,27.3,,,,,No,Yes,No
REMA,93,IC+TSI-18-M,2,27.4,9.6,0,0,0,Yes,Yes,No
BIAS,132,IC-18-N,1,27.5,0,0,0,0,Yes,No,No
REMA,171,IC+TSI-18-N,1,27.5,0,0,0,0,Yes,No,No
REMA,246,IC+TSI-19-N,1,27.6,,,,,Yes,No,No
TUPO,73,IC-18-M,1,27.6,0,0,0,0,Yes,No,No
REMA,67,IC+TSI-19-S,2,27.6,15,,,,Yes,Yes,No
REMA,217,IC-19-N,2,27.7,29.1,,,,Yes,No,No
PINE,180,IC+TSI-18-N,1,27.7,0,0,0,0,Yes,No,No
REMA,67,IC+TSI-18-M,2,27.7,15.3,0,0,0,Yes,Yes,No
REMA,145,IC+TSI-19-M,2,27.7,19.7,,,,Yes,No,No
PINE,127,IC+TSI-18-N,1,27.8,0,0,0,0,Yes,No,No
REMA,133,IC+TSI-19-M,2,27.9,22.3,,,,Yes,No,No
REMA,154,IC+TSI-19-M,4,27.9,22.4,21,20.2,,Yes,No,No
REMA,34,IC-19-S,2,27.9,34,,,,Yes,No,No
TUPO,77,IC+TSI-19-S,1,27.9,,,,,Yes,No,No
BIAS,189,IC+TSI-18-N,1,28,0,0,0,0,Yes,No,No
REMA,94,IC+TSI-18-M,1,28,0,0,0,0,Yes,No,No
REMA,153,IC+TSI-19-M,2,28,28.4,,,,Yes,No,No
BASS,157,IC-19-N,1,28.1,,,,,Yes,No,No
REMA,232,IC+TSI-19-N,1,28.1,,,,,Yes,No,No
REMA,236,IC+TSI-19-N,1,28.1,,,,,Yes,No,No
TUPO,19,IC-18-S,2,28.1,27.6,0,0,0,Yes,No,No
PINE,185,IC+TSI-18-N,1,28.2,0,0,0,0,Yes,No,No
REMA,213,IC-18-N,2,28.3,29.3,0,0,0,Yes,No,No
TUPO,122,IC+TSI-18-N,1,28.3,0,0,0,0,Yes,No,No
REMA,131,IC+TSI-19-M,2,28.3,31.6,,,,Yes,No,No
BASS,9,IC-19-S,1,28.4,,,,,Yes,No,No
BIAS,130,IC-18-N,1,28.5,0,0,0,0,Yes,No,No
REMA,164,IC-19-N,1,28.5,,,,,Yes,No,No
REMA,174,IC+TSI-18-N,2,28.5,34.2,0,0,0,Yes,No,No
REMA,211,IC-19-N,1,28.6,,,,,Yes,No,No
TUPO,46,IC+TSI-19-S,1,28.6,,,,,Yes,No,No
REMA,130,IC+TSI-18-M,1,28.7,0,0,0,0,Yes,No,No
BASS,98,IC-19-M,2,28.8,,,,,No,Yes,No
TUPO,105,IC-19-M,1,28.8,,,,,Yes,No,No
TUPO,19,IC-19-S,2,28.8,,,,,Yes,Yes,No
TUPO,109,IC-19-M,2,28.9,27,,,,Yes,No,No
TUPO,22,IC-19-S,2,28.9,27.3,,,,Yes,No,No
REMA,197,IC-18-N,2,29,30,0,0,0,Yes,No,No
REMA,166,IC-19-N,2,29,,,,,Yes,No,No
PINE,181,IC+TSI-18-N,1,29,0,0,0,0,Yes,No,No
REMA,33,IC-18-S,3,29,39,30.3,0,0,Yes,No,No
REMA,163,IC+TSI-18-N,1,29.1,0,0,0,0,Yes,No,No
TUPO,108,IC-19-M,1,29.1,,,,,Yes,No,No
REMA,59,IC+TSI-18-M,1,29.1,0,0,0,0,Yes,No,No
PINE,124,IC+TSI-18-N,1,29.2,0,0,0,0,Yes,No,No
REMA,58,IC+TSI-18-M,2,29.2,26.6,0,0,0,Yes,No,no
REMA,160,IC+TSI-18-N,1,29.4,0,0,0,0,Yes,No,No
BASS,121,IC-19-M,1,29.4,,,,,Yes,No,No
TUPO,21,IC-19-S,2,29.4,26,,,,Yes,No,No
REMA,44,IC+TSI-19-S,4,29.4,18.6,25.3,24,,Yes,No,No
BIAS,188,IC-18-N,1,29.5,0,0,0,0,Yes,No,No
TUPO,41,IC-19-S,2,29.6,48.8,,,,Yes,No,No
BASS,227,IC+TSI-18-S,3,29.6,36.1,28.1,0,0,Yes,No,No
TUPO,42,IC-18-M,2,29.8,29.7,0,0,0,Yes,No,No
REMA,99,IC-19-M,1,29.8,,,,,Yes,No,No
REMA,148,IC+TSI-19-M,3,29.8,30,11.9,,,Yes,No,No
BIAS,104,IC+TSI-18-N,1,29.9,0,0,0,0,Yes,No,No
REMA,134,IC+TSI-19-M,2,29.9,12.8,,,,Yes,No,No
REMA,217,IC+TSI-18-S,2,29.9,29.7,0,0,0,Yes,No,No
ULAM,82,IC-19-M,1,30,,,,,Yes,No,No
REMA,91,IC+TSI-18-M,2,30,22,0,0,0,Yes,Yes,No
BASS,8,IC-19-S,1,30.03,,,,,Yes,No,No
REMA,208,IC-19-N,3,30.3,25.4,12.1,,,Yes,No,No
TUPO,240,IC+TSI-19-N,1,30.3,,,,,Yes,No,No
REMA,141,IC+TSI-19-M,1,30.5,,,,,Yes,No,No
SUMA,14,IC-18-S,1,30.5,0,0,0,0,Yes,No,No
SUMA,223,IC-19-N,1,30.7,,,,,Yes,No,No
TUPO,18,IC-19-S,1,30.7,,,,,Yes,No,No
REMA,183,IC-19-N,2,30.8,12,,,,Yes,Yes,No
TUPO,224,IC-19-N,1,30.8,,,,,Yes,No,No
TUPO,23,IC-19-S,1,30.8,,,,,Yes,No,No
REMA,201,IC-18-N,1,31,0,0,0,0,Yes,No,No
TUPO,69,IC-18-M,1,31,0,0,0,0,Yes,No,No
TUPO,74,IC-18-M,1,31,0,0,0,0,Yes,No,No
BASS,14,IC-19-S,2,31,31.7,,,,Yes,No,No
WHAS,107,IC-19-M,1,31.2,,,,,Yes,No,No
SASS,165,IC+TSI-18-N,1,31.3,0,0,0,0,Yes,No,No
BIAS,48,IC-18-M,1,31.3,0,0,0,0,Yes,No,No
WHAS,161,IC+TSI-18-N,3,31.4,20,23.3,0,0,Yes,No,No
TUPO,73,IC+TSI-19-S,2,31.4,18.4,,,,Yes,Yes,No
TUPO,104,IC-19-M,2,31.5,26.4,,,,Yes,No,No
REMA,56,IC+TSI-18-M,1,31.5,0,0,0,0,Yes,No,No
SUMA,118,IC+TSI-18-N,1,31.6,0,0,0,0,Yes,No,No
TUPO,39,IC-19-S,1,31.7,,,,,No,No,Yes
REMA,69,IC+TSI-19-S,3,31.7,28.1,27.4,,,Yes,No,No
TUPO,115,IC+TSI-18-N,1,31.8,0,0,0,0,Yes,No,No
TUPO,197,IC-19-N,1,31.9,,,,,Yes,No,No
PINE,183,IC+TSI-18-N,1,31.9,0,0,0,0,Yes,No,No
PINE,182,IC+TSI-18-N,1,32,0,0,0,0,No,No,Yes
WHAS,192,IC-18-N,2,32,32.5,0,0,0,Yes,Yes,No
TUPO,209,IC-19-N,1,32,,,,,Yes,No,No
TUPO,162,IC+TSI-18-N,1,32,0,0,0,0,Yes,No,No
REMA,102,IC+TSI-18-M,1,32,0,0,0,0,yes,No,No
