,ACRU,ACSA,ACSP,CACA,CACO,CASP,CEOR,COAL,COFO,COSP,CRSP,EUOB,FAGR,FRAM,ILSP,LIBE,LISP,LITU,LOMO,MASP,NYSY,OSVI,PAQU,PIST,PRSE,PRVI,QUAL,QURU,RHFR,ROMU,RUAL,RUSP,SAAL,SODU,ULRU,VIAC,VIDE,VIRI,VISP
Control_2019_Middle,12,27,2,1,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,1,2,0,0,0,5,0,1,0,1,1,2,0,0,0,2,0,3,0,3
Control_2020_Middle,18,31,9,1,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,1,2,0,0,0,5,0,1,13,2,1,2,0,0,0,2,0,3,0,3
Control_2021_Middle,14,21,5,1,0,0,0,0,0,0,0,0,1,79,0,0,0,3,0,1,2,0,0,0,5,0,3,12,2,1,2,0,0,0,1,0,3,0,0
Control_2022_Middle,10,11,2,1,0,0,0,0,0,0,0,0,1,74,0,0,0,5,0,1,2,0,0,0,5,0,3,6,1,1,2,0,0,0,1,0,3,0,0
Control_2023_Middle,8,8,1,1,0,0,0,0,0,0,0,0,1,69,0,0,0,3,0,1,2,0,0,0,5,0,3,5,1,1,2,0,0,0,1,0,3,0,0
Control_2024_Middle,12,8,0,1,0,0,0,0,0,0,0,0,1,65,0,0,0,3,0,1,2,0,0,0,6,0,3,6,1,1,2,0,0,0,1,0,2,0,0
Control_2025_Middle,11,6,0,1,0,0,0,0,0,0,0,0,1,62,0,0,1,2,0,1,2,0,0,0,6,0,3,54,1,1,4,0,0,0,1,0,2,1,0
Control_2019_North,0,3,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Control_2020_North,0,2,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Control_2021_North,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
